School,Num. of Dels
Henry M. Jackson High School,9
Inglemoor High School,12
Eastlake High School,16
Hazen High School,6
Lakeside School,7
Issaquah High School,2
Woodinville High School,8
Bellarmine Preparatory School,27
Redmond High School,3
Interlake High School,23
Hanford High School,7
Odle Middle School,3
North Creek High School,2
Shorecrest High School,5
Lake Washington High School,7
Summit Public Schools: Sierra,4
Inglewood Middle School,1
International Community School,12
Lake Washington Girls Middle School,8
Bothell High School,6
Seattle Academy,3
Evergreen Middle School,1
Liberty High School,7
Newport High School,17
Bellevue High School,3
Kentwood High School,4
The Downtown School,1
The Overlake School,1
Roosevelt High School,4
Rose Hill Middle School,14
The Center School,1
University Prep,1
Enumclaw High School,7
St. Francis of Assisi School,1
Independent,1
Tacoma Science and Math Institute,1
Cedarcrest High School,1
